西葫芦,0.50,0.70,0.90,滇/鲁,斤,2021-06-11
佛手瓜,2.50,2.75,3.00,普通,斤,2021-06-11
金丝南瓜,0.50,0.55,0.60,鲁冀,斤,2021-06-11
南北瓜,0.80,0.85,0.90,桂,斤,2021-06-11
尖椒,1.00,1.25,1.50,冀晋/鲁新,斤,2021-06-11
螺丝椒,1.30,1.50,1.70,普通,斤,2021-06-11
柿子椒,1.00,1.25,1.50,\鲁新,斤,2021-06-11
线椒,1.60,1.80,2.00,\鲁琼新,斤,2021-06-11
杭椒,1.80,1.90,2.00,普通,斤,2021-06-11
小米椒,4.00,4.50,5.00,滇,斤,2021-06-11
彩椒,3.50,3.75,4.00,红\黄,斤,2021-06-11
白萝卜,0.30,0.35,0.40,\冀,斤,2021-06-11
心里美,0.70,0.75,0.80,冀/新,斤,2021-06-11
卞萝卜,0.40,0.45,0.50,冀,斤,2021-06-11
青萝卜,0.80,0.85,0.90,冀\鲁新,斤,2021-06-11
胡萝卜,0.70,0.80,0.90,冀/鲁新,斤,2021-06-11
胡萝卜（洗）,0.90,1.00,1.10,冀/鲁,斤,2021-06-11
土豆,0.70,0.80,0.90,\冀,斤,2021-06-11
新土豆（黄心）,0.80,1.00,1.20,鲁,斤,2021-06-11
黄葱头,0.90,1.05,1.20,\蒙甘,斤,2021-06-11
红金龙,4.00,5.00,6.00,芒果类,斤,2021-06-11
高乐密,2.50,3.75,5.00,芒果类,斤,2021-06-11
青皮芒果,3.00,3.50,4.00,芒果类,斤,2021-06-11
水仙芒果,3.50,4.50,5.50,芒果类,斤,2021-06-11
玉纹,4.00,5.50,7.00,芒果类,斤,2021-06-11
肯特\新世纪\澳芒,3.00,4.50,6.00,芒果类,斤,2021-06-11
妃子笑,4.00,5.00,6.00,荔枝类,斤,2021-06-11
荔枝王,9.00,9.50,10.00,荔枝类,斤,2021-06-11
鸡嘴荔枝,8.00,9.00,10.00,荔枝类,斤,2021-06-11
玉荷包荔枝,4.00,4.50,5.00,荔枝类,斤,2021-06-11
桂味,8.00,9.00,10.00,荔枝类,斤,2021-06-11
越荔荔枝,7.00,8.00,9.00,荔枝类,斤,2021-06-11
红灯,8.00,10.50,13.00,樱桃类,斤,2021-06-11
水晶,10.00,14.00,18.00,樱桃类,斤,2021-06-11
美早,6.50,23.25,40.00,樱桃类,斤,2021-06-11
布鲁克斯,6.00,11.00,16.00,樱桃类,斤,2021-06-11
先锋樱桃,5.00,10.00,15.00,樱桃类,斤,2021-06-11
冰库,8.00,10.00,12.00,樱桃类,斤,2021-06-11
沙蜜托,8.00,11.00,14.00,樱桃类,斤,2021-06-11
白玉南豆腐（盒）,5.50,5.50,5.50,豆制品,盒,2021-06-11
芹菜,0.60,0.70,0.80,\冀,斤,2021-06-12
西芹,1.50,1.65,1.80,普通,斤,2021-06-12
菠菜,0.60,0.80,1.00,冀\蒙,斤,2021-06-12
莴笋,0.80,1.05,1.30,冀/鲁,斤,2021-06-12
团生菜,0.80,0.90,1.00,毛|净,斤,2021-06-12
圆白菜,0.35,0.45,0.55,\冀,斤,2021-06-12
紫甘蓝,0.65,0.70,0.75,冀,斤,2021-06-12
散叶生菜,0.80,1.00,1.20,\京冀,斤,2021-06-12
油菜,1.00,1.10,1.20,\京冀,斤,2021-06-12
香菜,1.80,1.90,2.00,\冀,斤,2021-06-12
茴香,0.80,1.00,1.20,\冀,斤,2021-06-12
韭菜,0.80,0.90,1.00,普通,斤,2021-06-12
韭菜苔,3.50,3.75,4.00,普通,斤,2021-06-12
苦菊,1.00,1.15,1.30,辽,斤,2021-06-12
油麦菜,0.90,1.00,1.10,\京,斤,2021-06-12
散菜花,1.00,1.25,1.50,豫\苏,斤,2021-06-12
绿菜花,1.20,1.60,2.00,京\ 冀,斤,2021-06-12
菜花,1.10,1.30,1.50,/冀,斤,2021-06-12
绿豆芽,0.95,0.98,1.00,普通,斤,2021-06-12
黄豆芽,0.85,0.88,0.90,普通,斤,2021-06-12
香香北豆腐（盒）,3.00,3.00,3.00,豆制品,盒,2021-06-11
鲤鱼,11.00,11.00,11.00,750g-1000g,斤,2021-06-11
鲤鱼,11.00,11.00,11.00,>1000g,斤,2021-06-11
草鱼,13.00,13.00,13.00,750g-1000g,斤,2021-06-11
草鱼,13.00,13.00,13.00,>1000g,斤,2021-06-11
鲫鱼,15.00,15.00,15.00,200g-250g,斤,2021-06-11
鲫鱼,16.00,16.00,16.00,350g-400g,斤,2021-06-11
胖头鱼,14.00,14.00,14.00,>2000g,斤,2021-06-11
武昌鱼,12.00,12.50,13.00,700g左右,斤,2021-06-11
鲢鱼,5.00,5.50,6.00,1000-1500g,斤,2021-06-11
桂鱼,65.00,67.00,69.00,中桂,斤,2021-06-11
嘎鱼,24.00,24.50,25.00,<100g,斤,2021-06-11
淡水鲈鱼,25.00,25.00,25.00,活,斤,2021-06-11
多宝鱼,26.00,27.00,28.00,活,斤,2021-06-11
白虾,40.00,41.00,42.00,活,斤,2021-06-11
小龙虾,17.00,17.50,18.00,活,斤,2021-06-11
西芹,2.50,2.75,3.00,特菜,斤,2021-06-10
芦荟,6.00,6.50,7.00,特菜,斤,2021-06-10
百合,30.00,31.00,32.00,特菜,斤,2021-06-10
香椿,10.00,11.00,12.00,特菜,斤,2021-06-10
韭菜苔,3.50,3.75,4.00,普通,斤,2021-06-10
苦菊,1.00,1.15,1.30,辽,斤,2021-06-10
油麦菜,1.00,1.15,1.30,\京,斤,2021-06-10
散菜花,1.10,1.30,1.50,豫\苏,斤,2021-06-10
绿菜花,1.50,1.75,2.00,京\ 冀,斤,2021-06-10
菜花,1.10,1.30,1.50,/冀,斤,2021-06-10
绿豆芽,0.95,0.98,1.00,普通,斤,2021-06-10
黄豆芽,0.85,0.88,0.90,普通,斤,2021-06-10
紫菜苔,3.00,3.10,3.20,普通,斤,2021-06-10
番茄,1.00,1.30,1.60,川鲁蒙,斤,2021-06-10
番茄（精品）,1.50,1.65,1.80,\鲁新,斤,2021-06-10
樱西,2.80,2.90,3.00,小红,斤,2021-06-10
黄瓜,0.70,0.85,1.00,蒙辽袋\鲁,斤,2021-06-10
黄瓜(鲜干花),0.90,1.00,1.10,冀,斤,2021-06-10
小黄瓜,1.60,2.10,2.60,旱\荷兰,斤,2021-06-10
茄子,1.00,1.10,1.20,冀,斤,2021-06-10
长茄,0.80,1.10,1.40,辽,斤,2021-06-10
广茄,1.30,1.65,2.00,冀,斤,2021-06-10
线茄,2.00,2.90,3.80,冀,斤,2021-06-10
吊冬瓜,0.70,0.75,0.80,冀,斤,2021-06-10
水仙芒果,3.50,4.50,5.50,芒果类,斤,2021-06-10
玉纹,4.00,5.50,7.00,芒果类,斤,2021-06-10
肯特\新世纪\澳芒,3.00,4.50,6.00,芒果类,斤,2021-06-10
妃子笑,4.00,5.00,6.00,荔枝类,斤,2021-06-10
荔枝王,9.00,9.50,10.00,荔枝类,斤,2021-06-10
鸡嘴荔枝,8.00,9.00,10.00,荔枝类,斤,2021-06-10
玉荷包荔枝,4.00,4.50,5.00,荔枝类,斤,2021-06-10
桂味,8.00,9.00,10.00,荔枝类,斤,2021-06-10
越荔荔枝,7.00,8.00,9.00,荔枝类,斤,2021-06-10
红灯,8.00,10.50,13.00,樱桃类,斤,2021-06-10
水晶,10.00,14.00,18.00,樱桃类,斤,2021-06-10
美早,6.50,23.25,40.00,樱桃类,斤,2021-06-10
布鲁克斯,6.00,11.00,16.00,樱桃类,斤,2021-06-10
先锋樱桃,5.00,10.00,15.00,樱桃类,斤,2021-06-10
沙蜜托,8.00,11.00,14.00,樱桃类,斤,2021-06-10
白条猪（瘦）,10.00,10.00,10.00,猪肉类,斤,2021-06-10
白条猪（肥）,8.00,8.00,8.00,猪肉类,斤,2021-06-10
前臀尖（瘦）,9.00,9.50,10.00,猪肉类,斤,2021-06-10
前臀尖（肥）,8.00,8.50,9.00,猪肉类,斤,2021-06-10
后臀尖（瘦）,9.00,9.50,10.00,猪肉类,斤,2021-06-10
小米椒,4.00,4.50,5.00,滇,斤,2021-06-12
彩椒,3.50,4.00,4.50,红\黄,斤,2021-06-12
白萝卜,0.30,0.35,0.40,\冀,斤,2021-06-12
心里美,0.70,0.75,0.80,冀/新,斤,2021-06-12
卞萝卜,0.40,0.45,0.50,冀,斤,2021-06-12
青萝卜,0.80,0.85,0.90,冀\鲁新,斤,2021-06-12
胡萝卜,0.70,0.80,0.90,冀/鲁新,斤,2021-06-12
胡萝卜（洗）,0.90,1.00,1.10,冀/鲁,斤,2021-06-12
土豆,0.70,0.80,0.90,\冀,斤,2021-06-12
新土豆（黄心）,0.80,1.00,1.20,鲁,斤,2021-06-12
黄葱头,0.80,0.90,1.00,\蒙甘,斤,2021-06-12
红葱头,1.00,1.10,1.20,老/新,斤,2021-06-12
山药,2.00,2.35,2.70,脆\麻新,斤,2021-06-12
铁棍山药,5.00,5.50,6.00,\,斤,2021-06-12
莲藕,6.00,7.00,8.00,冀\云,斤,2021-06-12
红薯,1.20,1.25,1.30,\冀新,斤,2021-06-12
红薯,1.50,1.75,2.00,精品,斤,2021-06-12
茭白,2.50,2.75,3.00,京\浙,斤,2021-06-12
凉薯,2.00,2.15,2.30,普通,斤,2021-06-12
荸荠,3.00,3.40,3.80,皖,斤,2021-06-12
油豆,2.20,2.85,3.50,鲁,斤,2021-06-12
毛豆,4.00,4.15,4.30,普通,斤,2021-06-12
豌豆,1.30,1.50,1.70,普通,斤,2021-06-12
蚕豆,1.20,1.30,1.40,普通,斤,2021-06-12
荷兰豆,5.00,5.60,6.20,冀\云,斤,2021-06-12
玉米,1.70,1.85,2.00,普通,斤,2021-06-12
花生,4.50,5.00,5.50,广东\海南,斤,2021-06-12
苦瓜,2.00,2.25,2.50,冀/鲁,斤,2021-06-12
丝瓜,1.50,1.75,2.00,豫\鲁,斤,2021-06-12
丝瓜,2.00,2.25,2.50,短,斤,2021-06-12
瓠子,0.80,0.90,1.00,普通,斤,2021-06-12
西葫芦,0.50,0.70,0.90,滇/鲁,斤,2021-06-12
